Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	The Secret Life of Pets	$368,384,330	4,381	$104,352,905	4,370	Jul 8, 2016	Universal Pictures
2	Despicable Me 2	$368,065,385	4,003	$83,517,315	3,997	Jul 3, 2013	Universal Pictures
3	Minions	$336,045,770	4,311	$115,718,405	4,301	Jul 10, 2015	Universal Pictures
4	The Grinch	$270,620,950	4,141	$67,572,855	4,141	November 9, 2018	Universal Pictures
5	Sing	$270,395,425	4,029	$35,258,145	4,022	December 21, 2016	Universal Pictures
6	Despicable Me 3	$264,624,300	4,535	$72,434,025	4,529	Jun 30, 2017	Universal Pictures
7	Despicable Me	$251,513,985	3,602	$56,397,125	3,476	July 9, 2010	Universal Pictures
8	The Lorax	$214,030,500	3,769	$70,217,070	3,729	March 2, 2012	Universal Pictures
9	The Secret Life of Pets 2	$158,874,395	4,564	$46,652,680	4,561	June 7, 2019	Universal Pictures
10	Hop	$108,085,305	3,616	$37,543,710	3,579	Apr 1, 2011	Universal Pictures
