Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	The Twilight Saga: Eclipse	$300,531,751	4,468	$64,832,191	4,468	Jun 30, 2010	Summit Entertainment
2	The Twilight Saga: New Moon	$296,623,634	4,124	$142,839,137	4,024	Nov 20, 2009	Summit Entertainment
3	The Twilight Saga: Breaking Dawn - Part 2	$292,324,737	4,070	$141,067,634	4,070	Nov 16, 2012	Lionsgate
4	The Twilight Saga: Breaking Dawn - Part 1	$281,287,133	4,066	$138,122,261	4,061	November 18, 2011	Summit Entertainment
5	Twilight	$192,769,854	3,649	$69,637,740	3,419	Nov 21, 2008	Summit Entertainment
6	Twilight/The Twilight Saga: New Moon	$2,385,237	2,037	-	-	June 29, 2010	Summit Entertainment
6	Twilight/The Twilight Saga: New Moon	$2,385,237	2,037	-	-	Jun 29, 2010	Summit Entertainment
